date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:41:22	2110/2110	---MCZ	200	added ('OK')	text/html	etag:W/%220d64e1db669bd06d99c63edb2abd9436%22	https://posers.app/customiser	/Users/hirchytsdaniil/websites/Posers/posers.app/customiser.html	(from )
20:41:23	681/681	---MCZ	200	added ('OK')	text/html	etag:W/%220d64e1db669bd06d99c63edb2abd9436%22	https://posers.app/robots.txt		(from )
20:41:23	15086/15086	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22a340b1ff8f355dd2eda3374f2ab2f076%22	https://posers.app/favicon.ico	/Users/hirchytsdaniil/websites/Posers/posers.app/favicon.ico	(from https://posers.app/customiser)
20:41:24	4082/4082	---M--	200	added ('OK')	image/png	etag:%2248d198e652d33cf76a5ca6d3ac9f186f%22	https://posers.app/apple-touch-icon.png	/Users/hirchytsdaniil/websites/Posers/posers.app/apple-touch-icon.png	(from https://posers.app/customiser)
20:41:25	2203/2203	---M--	200	added ('OK')	image/png	etag:%22e25e4ac6d69ec0602eaffb44439e08d9%22	https://posers.app/favicon-32x32.png	/Users/hirchytsdaniil/websites/Posers/posers.app/favicon-32x32.png	(from https://posers.app/customiser)
20:41:26	1586/1586	---M--	200	added ('OK')	image/png	etag:%22b2147e160afb5d8a7befe329558e4b92%22	https://posers.app/favicon-16x16.png	/Users/hirchytsdaniil/websites/Posers/posers.app/favicon-16x16.png	(from https://posers.app/customiser)
20:41:27	291/291	---M--	200	added ('OK')	application/manifest+json	etag:%22c2f552420ee251e4422ca9294463ba95%22	https://posers.app/site.webmanifest	/Users/hirchytsdaniil/websites/Posers/posers.app/site.webmanifest	(from https://posers.app/customiser)
20:41:28	28242/28242	---M--	200	added ('OK')	image/png	etag:%22db222a3f391b058de9fcfcc061ddd01d%22	https://posers.app/ogp.png	/Users/hirchytsdaniil/websites/Posers/posers.app/ogp.png	(from https://posers.app/customiser)
20:41:30	104670/104670	---MCZ	200	added ('OK')	application/javascript	etag:W/%222ffd6308a8a9ce412c36f6066717ccbc%22	https://posers.app/assets/index.4fd8638e.js	/Users/hirchytsdaniil/websites/Posers/posers.app/assets/index.4fd8638e.js	(from https://posers.app/customiser)
20:41:32	42208/42208	---MCZ	200	added ('OK')	text/css	etag:W/%22ba957ba6c204d49a8b395cb1236b38ef%22	https://posers.app/assets/index.b2eb98ea.css	/Users/hirchytsdaniil/websites/Posers/posers.app/assets/index.b2eb98ea.css	(from https://posers.app/customiser)
20:41:32	857966/857966	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cb2a99b23326f08e735d3a082370a016%22	https://posers.app/assets/vendor.2189bb62.js	/Users/hirchytsdaniil/websites/Posers/posers.app/assets/vendor.2189bb62.js	(from https://posers.app/customiser)
